model_category,title,price,price_raw,url,scraped_at,scrape_date,scrape_time,year
gibson_r7,Gibson Les Paul Studio Dark Guitar Center-Exclusive Electric Guitar Olive Drab,1799.0,"$1,799.00",https://www.guitarcenter.com/Gibson/Les-Paul-Studio-Dark-Limited-Edition-Electric-Guitar-Olive-Drab-1500000440674.gc,2025-08-12T21:44:14.604397,2025-08-12,21:44:14,
gibson_r7,Gibson Les Paul Standard '60s AAA Flame Top Guitar Center-Exclusive Electric Guitar Honey Lemon Burst,2999.0,"$2,999.00",https://www.guitarcenter.com/Gibson/Les-Paul-Standard-60s-AAA-Flame-Top-Limited-Edition-Electric-Guitar-Honey-Lemon-Burst-1500000416667.gc,2025-08-12T21:44:14.604512,2025-08-12,21:44:14,
gibson_r7,Gibson Les Paul Studio Session Electric Guitar Translucent Ebony Burst,1999.0,"$1,999.00",https://www.guitarcenter.com/Gibson/Les-Paul-Studio-Session-Electric-Guitar-Translucent-Ebony-Burst-1500000438895.gc,2025-08-12T21:44:14.604596,2025-08-12,21:44:14,
gibson_r7,Gibson Les Paul Standard '50s Figured Top Electric Guitar Heritage Cherry Sunburst,2799.0,"$2,799.00",https://www.guitarcenter.com/Gibson/Les-Paul-Standard-50s-Electric-Guitar-Heritage-Cherry-Sunburst-1500000274114.gc,2025-08-12T21:44:14.604719,2025-08-12,21:44:14,
gibson_r7,Gibson Les Paul Supreme AAA Quilt Top Limited-Edition Electric Guitar Sea Smoke,4199.0,"$4,199.00",https://www.guitarcenter.com/Gibson/Les-Paul-Supreme-AAA-Quilt-Top-Limited-Edition-Electric-Guitar-Sea-Smoke-1500000441488.gc,2025-08-12T21:44:14.604814,2025-08-12,21:44:14,
gibson_r7,Gibson Adam Jones Les Paul Standard Electric Guitar Silver Burst,2999.0,"$2,999.00",https://www.guitarcenter.com/Gibson/Adam-Jones-Les-Paul-Standard-Electric-Guitar-Silver-Burst-1500000359207.gc,2025-08-12T21:44:14.604891,2025-08-12,21:44:14,
gibson_r7,Gibson Les Paul Standard '60s Figured Top Electric Guitar Bourbon Burst,2799.0,"$2,799.00",https://www.guitarcenter.com/Gibson/Les-Paul-Standard-60s-Electric-Guitar-Bourbon-Burst-1500000274117.gc,2025-08-12T21:44:14.605025,2025-08-12,21:44:14,
gibson_r7,Gibson Les Paul Standard '50s P-90 Electric Guitar Gold Top,2599.0,"$2,599.00",https://www.guitarcenter.com/Gibson/Les-Paul-Standard-50s-P-90-Electric-Guitar-Gold-Top-1500000274115.gc,2025-08-12T21:44:14.605109,2025-08-12,21:44:14,
gibson_r7,Gibson Les Paul Supreme Electric Guitar Wine Red,3999.0,"$3,999.00",https://www.guitarcenter.com/Gibson/Les-Paul-Supreme-Electric-Guitar-Wine-Red-1500000395597.gc,2025-08-12T21:44:14.605192,2025-08-12,21:44:14,
gibson_r7,Gibson Slash Les Paul Standard Electric Guitar Appetite Burst,2999.0,"From $2,999.00",https://www.guitarcenter.com/Gibson/Slash-Les-Paul-Standard-Electric-Guitar-Appetite-Burst-1500000314875.gc,2025-08-12T21:44:14.605262,2025-08-12,21:44:14,
gibson_r7,Gibson Custom Les Paul Custom Electric Guitar Alpine White,5799.0,"$5,799.00",https://www.guitarcenter.com/Gibson-Custom/Les-Paul-Custom-Ebony-Fingerboard-Electric-Guitar-Alpine-White-1500000297379.gc,2025-08-12T21:44:14.605328,2025-08-12,21:44:14,
gibson_r7,Gibson Les Paul Studio Electric Guitar Blueberry Burst,1599.0,"$1,599.00",https://www.guitarcenter.com/Gibson/Les-Paul-Studio-Electric-Guitar-Blueberry-Burst-1500000436844.gc,2025-08-12T21:44:14.605394,2025-08-12,21:44:14,
gibson_r7,Gibson Les Paul Music City Special 50th Anniversary Electric Guitar Wine Red,1799.0,"$1,799.00",https://www.guitarcenter.com/Gibson/Les-Paul-Music-City-Special-50th-Anniversary-Electric-Guitar-Wine-Red-1500000450134.gc,2025-08-12T21:44:14.605469,2025-08-12,21:44:14,
gibson_r7,Gibson Les Paul Standard '60s Plain Top Electric Guitar Ebony,2599.0,"$2,599.00",https://www.guitarcenter.com/Gibson/Les-Paul-Standard-60s-Plain-Top-Electric-Guitar-Ebony-1500000404901.gc,2025-08-12T21:44:14.605540,2025-08-12,21:44:14,
gibson_r7,Gibson Les Paul Studio Figured Guitar Center-Exclusive Electric Guitar Dirty Lemon Burst,1799.0,"$1,799.00",https://www.guitarcenter.com/Gibson/Les-Paul-Studio-Figured-Limited-Edition-Electric-Guitar-Dirty-Lemon-Burst-1500000440688.gc,2025-08-12T21:44:14.605612,2025-08-12,21:44:14,
gibson_r7,Gibson Les Paul Modern Figured Electric Guitar Cobalt Burst,2999.0,"$2,999.00",https://www.guitarcenter.com/Gibson/Les-Paul-Modern-Figured-Electric-Guitar-Cobalt-Burst-1500000404869.gc,2025-08-12T21:44:14.605677,2025-08-12,21:44:14,
gibson_r7,Gibson Custom 1968 Les Paul Custom Reissue Electric Guitar Ebony,6199.0,"$6,199.00",https://www.guitarcenter.com/Gibson-Custom/1968-Les-Paul-Custom-Reissue-Electric-Guitar-Ebony-1500000331576.gc,2025-08-12T21:44:14.605745,2025-08-12,21:44:14,1968
gibson_r7,Epiphone Inspired by Gibson Custom Les Paul Custom Electric Guitar Alpine White,1299.0,"$1,299.00",https://www.guitarcenter.com/Epiphone/Les-Paul-Custom-Electric-Guitar-Alpine-White-1500000419380.gc,2025-08-12T21:44:14.605812,2025-08-12,21:44:14,
gibson_r7,"Gibson Kirk Hammett ""Greeny"" Les Paul Standard Electric Guitar Greeny Burst",2999.0,"$2,999.00",https://www.guitarcenter.com/Gibson/Kirk-Hammett-Greeny-Les-Paul-Standard-Electric-Guitar-Greeny-Burst-1500000395596.gc,2025-08-12T21:44:14.605878,2025-08-12,21:44:14,
gibson_r7,Gibson Les Paul Traditional Pro V AAA Flame Top Electric Guitar Ocean Water Perimeter,2999.0,"$2,999.00",https://www.guitarcenter.com/Gibson/Les-Paul-Traditional-Pro-V-AAA-Flame-Top-Electric-Guitar-Ocean-Water-Perimeter-1500000432219.gc,2025-08-12T21:44:14.605954,2025-08-12,21:44:14,
gibson_r7,Gibson Les Paul Standard '60s Double Trouble Electric Guitar Vintage Cherry Sunburst,2799.0,"$2,799.00",https://www.guitarcenter.com/Gibson/Les-Paul-Standard-60s-Double-Trouble-Electric-Guitar-Vintage-Cherry-Sunburst-1500000450142.gc,2025-08-12T21:44:14.606019,2025-08-12,21:44:14,
gibson_r7,Gibson Custom 1957 Les Paul Custom Reissue 3-Pickup VOS Electric Guitar Ebony,6899.0,"$6,899.00",https://www.guitarcenter.com/Gibson-Custom/57-Les-Paul-Custom-3-Pickup-Ebony-VOS-Electric-Guitar-Ebony-1500000220204.gc,2025-08-12T21:44:14.606084,2025-08-12,21:44:14,1957
gibson_r7,Gibson Warren Haynes Les Paul Standard Electric Guitar 60s Cherry,2799.0,"$2,799.00",https://www.guitarcenter.com/Gibson/Warren-HaynesLes-Paul-Standard-Electric-Guitar-60s-Cherry-1500000434579.gc,2025-08-12T21:44:14.606151,2025-08-12,21:44:14,
gibson_r7,Gibson Custom 1961 Les Paul SG Standard Reissue Stop-Bar VOS Electric Guitar Cherry Red,4299.0,"$4,299.00",https://www.guitarcenter.com/Gibson-Custom/1961-Les-Paul-SG-Standard-Reissue-Stop-Bar-VOS-Electric-Guitar-Cherry-Red-1500000272642.gc,2025-08-12T21:44:14.606217,2025-08-12,21:44:14,1961
